coverage_id,category,session,unit,source_file,source_page,problem_number,prompt_id,official_answer_available,note_file,note_anchor,solution_status,verification_method
online-S01-1.1.5-Q4,online_feedback,1,1,08_Courseware_Exercises/S01_1.1.5_modus-ponens.md,,,Q4,yes,01_Proofs.md,#Session 1 — Introduction to Proofs,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S01-1.1.5-Q5,online_feedback,1,1,08_Courseware_Exercises/S01_1.1.5_modus-ponens.md,,,Q5,yes,01_Proofs.md,#Session 1 — Introduction to Proofs,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S01-1.1.5-Q6,online_feedback,1,1,08_Courseware_Exercises/S01_1.1.5_modus-ponens.md,,,Q6,yes,01_Proofs.md,#Session 1 — Introduction to Proofs,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S02-1.2.2-Q1,online_feedback,2,1,08_Courseware_Exercises/S02_1.2.2_proof-by-contradiction.md,,,Q1,yes,01_Proofs.md,#Session 2 — Proof Methods,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S02-1.2.4-Q1,online_feedback,2,1,08_Courseware_Exercises/S02_1.2.4_when-to-prove-by-cases.md,,,Q1,yes,01_Proofs.md,#Session 2 — Proof Methods,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S02-1.2.5-Q1,online_feedback,2,1,08_Courseware_Exercises/S02_1.2.5_friends-and-strangers.md,,,Q1,yes,01_Proofs.md,#Session 2 — Proof Methods,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S02-1.2.6-Q1,online_feedback,2,1,08_Courseware_Exercises/S02_1.2.6_a-bogus-proof-by-cases.md,,,Q1,yes,01_Proofs.md,#Session 2 — Proof Methods,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S02-1.2.7-Q1,online_feedback,2,1,08_Courseware_Exercises/S02_1.2.7_a-bogus-proof-by-contradiction.md,,,Q1,yes,01_Proofs.md,#Session 2 — Proof Methods,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S03-1.3.2-Q1,online_feedback,3,1,08_Courseware_Exercises/S03_1.3.2_domain-for-well-ordering-principle.md,,,Q1,yes,01_Proofs.md,#Session 3 — Well Ordering Principle,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S03-1.3.4-Q1,online_feedback,3,1,08_Courseware_Exercises/S03_1.3.4_well-ordering-proofs-and-counterexamples.md,,,Q1,yes,01_Proofs.md,#Session 3 — Well Ordering Principle,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S03-1.3.6-Q1,online_feedback,3,1,08_Courseware_Exercises/S03_1.3.6_wop-proof-for-geometric-sum.md,,,Q1,yes,01_Proofs.md,#Session 3 — Well Ordering Principle,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S03-1.3.7-Q1,online_feedback,3,1,08_Courseware_Exercises/S03_1.3.7_well-ordering-principle-examples.md,,,Q1,yes,01_Proofs.md,#Session 3 — Well Ordering Principle,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S03-1.3.8-Q1,online_feedback,3,1,08_Courseware_Exercises/S03_1.3.8_a-bogus-well-ordering-principle-proof.md,,,Q1,yes,01_Proofs.md,#Session 3 — Well Ordering Principle,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S04-1.4.2-Q1,online_feedback,4,1,08_Courseware_Exercises/S04_1.4.2_propositional-operators.md,,,Q1,yes,01_Proofs.md,#Session 4 — Logic and Propositions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S04-1.4.2-Q2,online_feedback,4,1,08_Courseware_Exercises/S04_1.4.2_propositional-operators.md,,,Q2,yes,01_Proofs.md,#Session 4 — Logic and Propositions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S04-1.4.2-Q3,online_feedback,4,1,08_Courseware_Exercises/S04_1.4.2_propositional-operators.md,,,Q3,yes,01_Proofs.md,#Session 4 — Logic and Propositions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S04-1.4.2-Q4,online_feedback,4,1,08_Courseware_Exercises/S04_1.4.2_propositional-operators.md,,,Q4,yes,01_Proofs.md,#Session 4 — Logic and Propositions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S04-1.4.5-Q1,online_feedback,4,1,08_Courseware_Exercises/S04_1.4.5_equivalence-and-truth-table.md,,,Q1,yes,01_Proofs.md,#Session 4 — Logic and Propositions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S04-1.4.8-Q1,online_feedback,4,1,08_Courseware_Exercises/S04_1.4.8_soundness-and-validity.md,,,Q1,yes,01_Proofs.md,#Session 4 — Logic and Propositions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S04-1.4.9-Q1,online_feedback,4,1,08_Courseware_Exercises/S04_1.4.9_logical-connectives.md,,,Q1,yes,01_Proofs.md,#Session 4 — Logic and Propositions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S04-1.4.9-Q2,online_feedback,4,1,08_Courseware_Exercises/S04_1.4.9_logical-connectives.md,,,Q2,yes,01_Proofs.md,#Session 4 — Logic and Propositions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S04-1.4.9-Q3,online_feedback,4,1,08_Courseware_Exercises/S04_1.4.9_logical-connectives.md,,,Q3,yes,01_Proofs.md,#Session 4 — Logic and Propositions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S04-1.4.9-Q4,online_feedback,4,1,08_Courseware_Exercises/S04_1.4.9_logical-connectives.md,,,Q4,yes,01_Proofs.md,#Session 4 — Logic and Propositions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S05-1.5.3-Q1,online_feedback,5,1,08_Courseware_Exercises/S05_1.5.3_satisfiability.md,,,Q1,yes,01_Proofs.md,#Session 5 — Quantifiers and Predicate Logic,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S05-1.5.5-Q1,online_feedback,5,1,08_Courseware_Exercises/S05_1.5.5_name-that-predicate.md,,,Q1,yes,01_Proofs.md,#Session 5 — Quantifiers and Predicate Logic,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S05-1.5.6-Q1,online_feedback,5,1,08_Courseware_Exercises/S05_1.5.6_quantifiers.md,,,Q1,yes,01_Proofs.md,#Session 5 — Quantifiers and Predicate Logic,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S05-1.5.7-Q1,online_feedback,5,1,08_Courseware_Exercises/S05_1.5.7_propositions-with-quantifiers.md,,,Q1,yes,01_Proofs.md,#Session 5 — Quantifiers and Predicate Logic,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S05-1.5.7-Q2,online_feedback,5,1,08_Courseware_Exercises/S05_1.5.7_propositions-with-quantifiers.md,,,Q2,yes,01_Proofs.md,#Session 5 — Quantifiers and Predicate Logic,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S05-1.5.7-Q3,online_feedback,5,1,08_Courseware_Exercises/S05_1.5.7_propositions-with-quantifiers.md,,,Q3,yes,01_Proofs.md,#Session 5 — Quantifiers and Predicate Logic,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S05-1.5.8-Q1,online_feedback,5,1,08_Courseware_Exercises/S05_1.5.8_predicate-logic.md,,,Q1,yes,01_Proofs.md,#Session 5 — Quantifiers and Predicate Logic,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S06-1.6.3-Q1,online_feedback,6,1,08_Courseware_Exercises/S06_1.6.3_difference.md,,,Q1,yes,01_Proofs.md,#Session 6 — Sets,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.2-Q1,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.2_range-of-a-relation.md,,,Q1,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.4-Q1,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.4_total-injection.md,,,Q1,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.4-Q2,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.4_total-injection.md,,,Q2,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.6-Q1,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.6_a-inj-b.md,,,Q1,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.7-Q1,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.7_total-relations.md,,,Q1,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.8-Q1,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.8_surjective-relations.md,,,Q1,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.9-Q1,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.9_inverse-relations.md,,,Q1,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.9-Q2,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.9_inverse-relations.md,,,Q2,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.9-Q3,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.9_inverse-relations.md,,,Q3,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.9-Q4,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.9_inverse-relations.md,,,Q4,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.10-Q1,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.10_in-sur-and-bijections.md,,,Q1,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.10-Q2,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.10_in-sur-and-bijections.md,,,Q2,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.10-Q3,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.10_in-sur-and-bijections.md,,,Q3,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.10-Q4,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.10_in-sur-and-bijections.md,,,Q4,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.10-Q5,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.10_in-sur-and-bijections.md,,,Q5,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.10-Q6,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.10_in-sur-and-bijections.md,,,Q6,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.10-Q7,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.10_in-sur-and-bijections.md,,,Q7,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.11-Q1,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.11_mapping-lemma-sizes-of-domains-and-codomains.md,,,Q1,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.11-Q2,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.11_mapping-lemma-sizes-of-domains-and-codomains.md,,,Q2,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.11-Q3,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.11_mapping-lemma-sizes-of-domains-and-codomains.md,,,Q3,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.11-Q4,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.11_mapping-lemma-sizes-of-domains-and-codomains.md,,,Q4,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S07-1.7.11-Q5,online_feedback,7,1,08_Courseware_Exercises/S07_1.7.11_mapping-lemma-sizes-of-domains-and-codomains.md,,,Q5,yes,01_Proofs.md,#Session 7 — Binary Relations,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S08-1.8.3-Q1,online_feedback,8,1,08_Courseware_Exercises/S08_1.8.3_same-colored-horses.md,,,Q1,yes,01_Proofs.md,#Session 8 — Induction,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S08-1.8.5-Q1,online_feedback,8,1,08_Courseware_Exercises/S08_1.8.5_unstacking-game-score.md,,,Q1,yes,01_Proofs.md,#Session 8 — Induction,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S08-1.8.7-Q1,online_feedback,8,1,08_Courseware_Exercises/S08_1.8.7_strong-vs-ordinary-induction-vs-wop.md,,,Q1,yes,01_Proofs.md,#Session 8 — Induction,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S08-1.8.7-Q2,online_feedback,8,1,08_Courseware_Exercises/S08_1.8.7_strong-vs-ordinary-induction-vs-wop.md,,,Q2,yes,01_Proofs.md,#Session 8 — Induction,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S08-1.8.8-Q1,online_feedback,8,1,08_Courseware_Exercises/S08_1.8.8_induction-by-n-3.md,,,Q1,yes,01_Proofs.md,#Session 8 — Induction,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S08-1.8.8-Q2,online_feedback,8,1,08_Courseware_Exercises/S08_1.8.8_induction-by-n-3.md,,,Q2,yes,01_Proofs.md,#Session 8 — Induction,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S08-1.8.9-Q1,online_feedback,8,1,08_Courseware_Exercises/S08_1.8.9_induction-rules.md,,,Q1,yes,01_Proofs.md,#Session 8 — Induction,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S08-1.8.9-Q2,online_feedback,8,1,08_Courseware_Exercises/S08_1.8.9_induction-rules.md,,,Q2,yes,01_Proofs.md,#Session 8 — Induction,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S08-1.8.9-Q3,online_feedback,8,1,08_Courseware_Exercises/S08_1.8.9_induction-rules.md,,,Q3,yes,01_Proofs.md,#Session 8 — Induction,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S08-1.8.9-Q4,online_feedback,8,1,08_Courseware_Exercises/S08_1.8.9_induction-rules.md,,,Q4,yes,01_Proofs.md,#Session 8 — Induction,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S08-1.8.9-Q5,online_feedback,8,1,08_Courseware_Exercises/S08_1.8.9_induction-rules.md,,,Q5,yes,01_Proofs.md,#Session 8 — Induction,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S08-1.8.10-Q1,online_feedback,8,1,08_Courseware_Exercises/S08_1.8.10_postage-by-induction.md,,,Q1,yes,01_Proofs.md,#Session 8 — Induction,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S08-1.8.11-Q1,online_feedback,8,1,08_Courseware_Exercises/S08_1.8.11_a-bogus-induction.md,,,Q1,yes,01_Proofs.md,#Session 8 — Induction,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S09-1.9.2-Q1,online_feedback,9,1,08_Courseware_Exercises/S09_1.9.2_state-machine-invariants.md,,,Q1,yes,01_Proofs.md,#Session 9 — State Machines and Invariants,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S09-1.9.2-Q2,online_feedback,9,1,08_Courseware_Exercises/S09_1.9.2_state-machine-invariants.md,,,Q2,yes,01_Proofs.md,#Session 9 — State Machines and Invariants,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S09-1.9.2-Q3,online_feedback,9,1,08_Courseware_Exercises/S09_1.9.2_state-machine-invariants.md,,,Q3,yes,01_Proofs.md,#Session 9 — State Machines and Invariants,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S09-1.9.2-Q4,online_feedback,9,1,08_Courseware_Exercises/S09_1.9.2_state-machine-invariants.md,,,Q4,yes,01_Proofs.md,#Session 9 — State Machines and Invariants,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S09-1.9.4-Q1,online_feedback,9,1,08_Courseware_Exercises/S09_1.9.4_derived-variables-and-termination.md,,,Q1,yes,01_Proofs.md,#Session 9 — State Machines and Invariants,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S09-1.9.4-Q2,online_feedback,9,1,08_Courseware_Exercises/S09_1.9.4_derived-variables-and-termination.md,,,Q2,yes,01_Proofs.md,#Session 9 — State Machines and Invariants,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S09-1.9.4-Q3,online_feedback,9,1,08_Courseware_Exercises/S09_1.9.4_derived-variables-and-termination.md,,,Q3,yes,01_Proofs.md,#Session 9 — State Machines and Invariants,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S09-1.9.4-Q4,online_feedback,9,1,08_Courseware_Exercises/S09_1.9.4_derived-variables-and-termination.md,,,Q4,yes,01_Proofs.md,#Session 9 — State Machines and Invariants,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S09-1.9.5-Q1,online_feedback,9,1,08_Courseware_Exercises/S09_1.9.5_integer-multiplication.md,,,Q1,yes,01_Proofs.md,#Session 9 — State Machines and Invariants,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S09-1.9.5-Q2,online_feedback,9,1,08_Courseware_Exercises/S09_1.9.5_integer-multiplication.md,,,Q2,yes,01_Proofs.md,#Session 9 — State Machines and Invariants,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S09-1.9.6-Q1,online_feedback,9,1,08_Courseware_Exercises/S09_1.9.6_chocolate-bars.md,,,Q1,yes,01_Proofs.md,#Session 9 — State Machines and Invariants,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S09-1.9.6-Q2,online_feedback,9,1,08_Courseware_Exercises/S09_1.9.6_chocolate-bars.md,,,Q2,yes,01_Proofs.md,#Session 9 — State Machines and Invariants,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S09-1.9.6-Q3,online_feedback,9,1,08_Courseware_Exercises/S09_1.9.6_chocolate-bars.md,,,Q3,yes,01_Proofs.md,#Session 9 — State Machines and Invariants,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S09-1.9.6-Q4,online_feedback,9,1,08_Courseware_Exercises/S09_1.9.6_chocolate-bars.md,,,Q4,yes,01_Proofs.md,#Session 9 — State Machines and Invariants,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S10-1.10.2-Q1,online_feedback,10,1,08_Courseware_Exercises/S10_1.10.2_matching-parentheses.md,,,Q1,yes,01_Proofs.md,#Session 10 — Recursive Definitions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S10-1.10.3-Q1,online_feedback,10,1,08_Courseware_Exercises/S10_1.10.3_functions-of-f18.md,,,Q1,yes,01_Proofs.md,#Session 10 — Recursive Definitions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S10-1.10.3-Q2,online_feedback,10,1,08_Courseware_Exercises/S10_1.10.3_functions-of-f18.md,,,Q2,yes,01_Proofs.md,#Session 10 — Recursive Definitions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S10-1.10.5-Q1,online_feedback,10,1,08_Courseware_Exercises/S10_1.10.5_structural-induction-definition.md,,,Q1,yes,01_Proofs.md,#Session 10 — Recursive Definitions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S10-1.10.5-Q2,online_feedback,10,1,08_Courseware_Exercises/S10_1.10.5_structural-induction-definition.md,,,Q2,yes,01_Proofs.md,#Session 10 — Recursive Definitions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S10-1.10.5-Q3,online_feedback,10,1,08_Courseware_Exercises/S10_1.10.5_structural-induction-definition.md,,,Q3,yes,01_Proofs.md,#Session 10 — Recursive Definitions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S10-1.10.5-Q4,online_feedback,10,1,08_Courseware_Exercises/S10_1.10.5_structural-induction-definition.md,,,Q4,yes,01_Proofs.md,#Session 10 — Recursive Definitions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S10-1.10.5-Q5,online_feedback,10,1,08_Courseware_Exercises/S10_1.10.5_structural-induction-definition.md,,,Q5,yes,01_Proofs.md,#Session 10 — Recursive Definitions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S10-1.10.6-Q1,online_feedback,10,1,08_Courseware_Exercises/S10_1.10.6_counting-cases.md,,,Q1,yes,01_Proofs.md,#Session 10 — Recursive Definitions,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S11-1.11.2-Q1,online_feedback,11,1,08_Courseware_Exercises/S11_1.11.2_cantor-schroeder-bernstein.md,,,Q1,yes,01_Proofs.md,#Session 11 — Infinite Sets,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S11-1.11.2-Q2,online_feedback,11,1,08_Courseware_Exercises/S11_1.11.2_cantor-schroeder-bernstein.md,,,Q2,yes,01_Proofs.md,#Session 11 — Infinite Sets,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S11-1.11.2-Q3,online_feedback,11,1,08_Courseware_Exercises/S11_1.11.2_cantor-schroeder-bernstein.md,,,Q3,yes,01_Proofs.md,#Session 11 — Infinite Sets,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S11-1.11.5-Q1,online_feedback,11,1,08_Courseware_Exercises/S11_1.11.5_cantor-s-diagonal-argument.md,,,Q1,yes,01_Proofs.md,#Session 11 — Infinite Sets,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S11-1.11.5-Q2,online_feedback,11,1,08_Courseware_Exercises/S11_1.11.5_cantor-s-diagonal-argument.md,,,Q2,yes,01_Proofs.md,#Session 11 — Infinite Sets,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S11-1.11.5-Q3,online_feedback,11,1,08_Courseware_Exercises/S11_1.11.5_cantor-s-diagonal-argument.md,,,Q3,yes,01_Proofs.md,#Session 11 — Infinite Sets,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S11-1.11.5-Q4,online_feedback,11,1,08_Courseware_Exercises/S11_1.11.5_cantor-s-diagonal-argument.md,,,Q4,yes,01_Proofs.md,#Session 11 — Infinite Sets,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
